DAY 1 ,Night departure from Delhi to Manali ,,,,,,,,,,,,
DAY 2 ,"Manali (check-in) & Local visit (Vashisth, Hadimba, Mall road) & night stay at Manali.",,,,,,,,,,,,
DAY 3 ,Early morning start to Solang & Atal exit (if its open) & night stay at Manali. ,,,,,,,,,,,,
DAY 4 ,Check-out & start to Kasol via Kullu rafting & paragliding point. Overnight journey to Shimla.,,,,,,,,,,,,
DAY 5 ,"Shimla (check-in) & visit kufri, mall road. Overnight stay  at shimla ",,,,,,,,,,,,
DAY 6 ,Morning departure from Shimla to Delhi.,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,Morning departure from Delhi to Shimla. & Night stay at Shimla.
,,,,,,,,,,,,,"Check-out & visit kufri, mall road. Overnight journey to Kasol's Manalikaran."
,,,,,,,,,,,,,"After Kasol-kullu-Manali (check-in) & Local visit (Vashisth, Hadimba, Mall road) & night stay at Manali."
,,,,,,,,,,,,,Early morning start to Solang & Atal exit (if its open) & night stay at Manali. 
,,,,,,,,,,,,,Check-out & start to Delhi via Kullu rafting & paragliding point. Overnight journey to New Delhi.
,,,,,,,,,,,,,Early morning drop at New Delhi. 
